code,province,city,latitude,longitude,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
30000,강원도,강원도,37.885369,127.729868,349,368,18,1.42,19.89,9.8,2519
30010,강원도,강릉시,37.75197,128.87592800000002,34,36,4,1.9,20.46,9.6,347
30020,강원도,고성,38.380571,128.467827,13,11,1,0.48,28.53,14.6,41
30030,강원도,동해시,37.524689,129.114239,14,17,0,1.6,19.41,10.1,140
30040,강원도,삼척시,37.449899,129.16536499999998,19,17,0,1.01,24.26,13.0,94
30050,강원도,속초,38.207021999999995,128.59186100000002,12,11,0,1.54,18.33,9.7,165
30060,강원도,양구,38.110002,127.99009199999999,10,9,0,1.01,20.38,9.9,33
30070,강원도,양양,38.075404999999996,128.619125,13,15,0,0.69,28.92,14.6,37
30080,강원도,영월,37.183694,128.461835,13,15,1,0.87,28.54,15.4,56
30090,강원도,원주시,37.341963,127.91966799999999,50,71,4,1.71,14.46,6.7,597
30100,강원도,인제,38.069682,128.17033500000002,13,15,0,0.88,19.88,10.4,46
30110,강원도,정선군,37.38062,128.660873,16,15,0,0.67,26.79,13.9,53
30120,강원도,철원,38.146693,127.3134,16,12,0,1.14,21.8,11.1,70
30130,강원도,춘천시,37.881281,127.730088,40,43,5,1.5,17.1,7.6,472
30140,강원도,태백시,37.16406,128.985736,12,12,1,1.16,23.88,12.8,64
30150,강원도,평창,37.370743,128.39033500000002,19,16,0,0.81,27.04,13.7,84
30160,강원도,홍천,37.697037,127.888821,26,26,0,1.14,25.28,12.6,115
30170,강원도,화천,38.106152,127.70816299999998,13,14,0,0.72,21.75,11.2,36
30180,강원도,횡성,37.491702000000004,127.98504199999999,16,13,2,0.97,28.22,13.3,69
40000,충청북도,충청북도,36.63568,127.49138400000001,259,328,17,1.39,17.28,8.5,2769
40010,충청북도,괴산,36.81534,127.786651,14,15,1,0.36,33.01,16.5,64
40020,충청북도,단양,36.984657,128.365476,11,11,0,0.5,29.52,15.8,52
40030,충청북도,보은,36.489402,127.72950300000001,15,16,0,0.67,33.46,18.4,74
40040,충청북도,영동,36.175017,127.78343100000001,14,14,1,0.94,30.32,16.1,108
40050,충청북도,옥천,36.306367,127.57128,12,17,1,0.63,28.83,14.9,107
40060,충청북도,음성군,36.940236999999996,127.690502,21,24,2,0.88,20.33,9.2,169
40070,충청북도,제천시,37.132583000000004,128.190946,24,35,2,1.31,20.92,10.5,245
40080,충청북도,증평,36.785301000000004,127.58148100000001,4,5,0,1.39,16.59,8.7,62
40090,충청북도,진천,36.855374,127.435635,15,16,0,1.15,16.16,8.3,121
40100,충청북도,청주시,36.641876,127.488759,92,131,8,1.67,12.82,6.0,1420
40110,충청북도,충주시,36.991009000000005,127.925946,37,44,2,1.39,19.07,9.0,347
41000,충청남도,충청남도,36.658976,126.673318,409,499,21,1.38,18.4,8.9,3641
41010,충청남도,계룡시,36.274481,127.248557,5,8,0,1.3,11.3,5.1,61
41020,충청남도,공주시,36.446508,127.11903000000001,28,34,2,1.16,25.2,11.7,221
41030,충청남도,금산,36.108887,127.48796599999999,16,16,1,0.67,30.15,14.8,119
41040,충청남도,논산시,36.187076,127.09895900000001,33,32,2,1.03,25.54,13.4,262
41050,충청남도,당진시,36.889777,126.64581399999999,30,35,1,1.2,18.14,7.9,265
41060,충청남도,보령시,36.333317,126.612679,29,33,1,1.23,25.04,12.6,186
41070,충청남도,부여군,36.275673,126.90978999999999,24,27,1,0.79,33.3,17.4,137
41080,충청남도,서산시,36.784751,126.45028899999998,29,39,1,1.3,18.01,8.4,261
41090,충청남도,서천,36.080265999999995,126.69139399999999,18,18,0,0.97,35.25,18.9,116
41100,충청남도,아산시,36.789844,127.00242,46,60,3,1.29,12.89,6.1,435
41110,충청남도,예산,36.680222,126.84468700000001,24,26,0,0.95,30.27,14.5,156
41120,충청남도,천안시,36.81498,127.113868,75,112,6,1.91,10.42,4.5,1069
41130,충청남도,청양,36.459129,126.802333,12,13,1,0.6,34.51,18.0,62
41140,충청남도,태안,36.745577000000004,126.29795,19,20,0,0.83,29.98,13.8,112
41150,충청남도,홍성,36.601259999999996,126.660772,21,26,2,1.35,23.11,11.3,179
50000,전라북도,전라북도,35.820308000000004,127.108791,419,519,19,2.12,20.6,10.9,3774
50010,전라북도,고창,35.435767,126.702152,21,22,0,0.95,33.33,20.6,123
50020,전라북도,군산시,35.967631,126.73701100000001,56,67,5,2.04,18.07,8.8,494
50030,전라북도,김제시,35.803506,126.88050700000001,36,40,0,1.11,30.89,17.9,188
50040,전라북도,남원시,35.416349,127.39026499999999,27,28,0,1.42,27.25,16.3,186
50050,전라북도,무주,36.006777,127.660789,10,9,0,0.74,32.71,18.7,53
50060,전라북도,부안,35.731805,126.733347,22,25,0,0.99,32.2,19.1,118
50070,전라북도,순창,35.374421000000005,127.137597,15,15,0,0.7,32.97,20.2,72
50080,전라북도,완주,35.904724,127.162209,29,37,3,1.52,22.38,9.8,170
50090,전라북도,익산시,35.948229,126.957792,60,83,2,2.18,18.85,9.3,556
50100,전라북도,임실,35.617891,127.288868,15,14,1,0.55,34.82,20.1,79
50110,전라북도,장수,35.647281,127.521204,8,8,0,0.58,32.87,19.1,44
50120,전라북도,전주시,35.824069,127.14805,73,120,7,3.02,14.4,6.8,1381
50130,전라북도,정읍시,35.569767999999996,126.856148,34,39,1,1.64,26.92,15.9,256
50140,전라북도,지난,35.791669,127.424806,13,12,0,0.39,33.8,19.5,54
51000,전라남도,전라남도,34.816095000000004,126.463021,429,542,19,1.45,22.81,13.5,3389
51010,전라남도,강진,34.642006,126.76726699999999,14,14,0,0.79,33.87,21.7,71
51020,전라남도,고흥,34.61117,127.285055,17,21,0,0.71,40.04,24.5,141
51030,전라남도,곡성,35.282015,127.292107,8,8,1,0.87,35.16,22.5,70
51040,전라남도,광양시,34.940611,127.696142,28,37,2,1.63,12.65,6.8,210
51050,전라남도,구례,35.202521000000004,127.46278899999999,10,12,0,0.79,33.3,19.4,57
51060,전라남도,나주,35.015817999999996,126.710826,24,30,3,1.4,22.16,13.2,214
51070,전라남도,담양,35.321144,126.988229,14,15,1,0.28,30.27,16.3,98
51080,전라남도,목포시,34.811809000000004,126.392198,33,55,3,2.11,15.88,8.8,406
51090,전라남도,무안,34.990368,126.48165300000001,18,21,2,2.12,20.82,11.8,141
51100,전라남도,보성,34.771453,127.080097,17,19,0,0.65,37.43,23.8,98
51110,전라남도,순천시,34.950592,127.48739599999999,42,61,3,1.94,15.2,8.3,452
51120,전라남도,시난,34.833564,126.35163600000001,19,22,0,0.2,35.18,21.0,77
51130,전라남도,여수시,34.760421,127.662287,50,73,1,1.85,18.59,9.5,471
51140,전라남도,영광,35.277188,126.51208700000001,13,15,1,1.24,28.4,17.3,116
51150,전라남도,영암,34.800191999999996,126.696802,16,18,2,0.82,25.99,15.6,100
51160,전라남도,완도,34.310983,126.755076,21,24,0,0.65,31.55,17.9,96
51170,전라남도,장성,35.301826,126.784893,13,16,0,0.83,28.75,16.8,80
51180,전라남도,장흥,34.681616,126.90708000000001,15,16,0,0.67,33.21,21.6,80
51190,전라남도,진도,34.486834,126.263554,10,13,0,0.78,32.97,22.0,68
51200,전라남도,함평,35.065927,126.51668799999999,11,12,0,0.49,35.45,22.0,76
51210,전라남도,해남,34.573374,126.59925,20,21,0,0.91,31.45,20.0,135
51220,전라남도,화순,35.064456,126.98664299999999,16,19,0,1.32,26.14,17.4,132
60000,경상북도,경상북도,36.576032,128.505599,471,707,33,1.33,20.85,11.1,4474
60010,경상북도,경산시,35.825056,128.741544,31,61,10,1.34,16.18,7.0,427
60020,경상북도,경주시,35.856184999999996,129.224796,43,61,4,1.34,21.66,11.0,407
60030,경상북도,고령,35.72615,128.26295,9,9,0,0.62,30.17,15.9,62
60040,경상북도,구미시,36.119640999999994,128.344295,50,104,3,1.96,9.08,4.3,616
60050,경상북도,군위,36.242926000000004,128.572939,7,8,0,0.25,38.87,21.6,41
60060,경상북도,김천시,36.139875,128.11365,27,37,2,0.89,22.35,12.2,212
60070,경상북도,문경시,36.586831,128.18708999999998,17,26,1,1.18,29.25,17.1,147
60080,경상북도,봉화,36.893099,128.732568,14,17,0,0.37,35.26,20.0,47
60090,경상북도,상주시,36.410977,128.159024,28,35,0,1.03,30.09,17.3,186
60100,경상북도,성주,35.919325,128.283237,12,15,0,0.59,30.89,15.9,84
60110,경상북도,안동시,36.568441,128.72955100000001,30,42,3,1.57,23.95,12.4,290
60120,경상북도,영덕,36.415059,129.366107,9,11,0,0.75,36.45,22.3,81
60130,경상북도,영양,36.666664000000004,129.112401,6,8,0,0.35,36.36,21.1,24
60140,경상북도,영주시,36.805702000000004,128.62395800000002,19,26,2,1.61,26.22,13.2,191
60150,경상북도,영천시,35.973268,128.938603,18,23,1,0.83,27.32,15.3,192
60160,경상북도,예천,36.646707,128.43743500000002,12,15,1,1.09,29.79,18.4,97
60170,경상북도,울릉,37.484438,130.90588300000002,4,6,0,0.21,24.81,10.7,11
60180,경상북도,울진,36.993078000000004,129.400585,13,16,0,1.01,27.3,17.6,83
60190,경상북도,의성,36.352717999999996,128.69708799999998,16,16,0,0.32,40.26,23.7,108
60200,경상북도,청도,35.647361,128.734382,11,14,0,0.63,36.55,21.0,85
60210,경상북도,청송,36.436301,129.05708,8,8,0,0.51,36.08,19.4,55
60220,경상북도,칠곡,35.995529,128.401735,21,32,2,1.48,15.17,6.7,151
60230,경상북도,포항시,36.019052,129.343645,66,117,4,1.51,16.44,8.0,877
61000,경상남도,경상남도,35.238294,128.692397,501,686,21,1.78,16.51,9.1,5364
61010,경상남도,거제,34.880519,128.621216,38,58,1,1.76,10.22,4.7,317
61020,경상남도,거창,35.686526,127.910021,17,16,2,1.25,27.01,17.4,127
61030,경상남도,고성,34.972986,128.322246,19,18,0,1.3,30.17,18.2,89
61040,경상남도,김해시,35.228678,128.889352,58,91,4,2.1,10.74,5.3,711
61050,경상남도,남해,34.837688,127.892595,13,10,1,1.03,36.92,23.3,88
61060,경상남도,밀양시,35.503827,128.746604,21,25,0,1.39,27.31,16.3,178
61070,경상남도,사천시,35.003668,128.064272,18,20,0,1.84,21.17,11.7,191
61080,경상남도,산청,35.415544,127.87348999999999,13,11,0,0.65,35.42,20.6,72
61090,경상남도,양산,35.335015999999996,129.037057,37,68,2,1.59,12.92,6.2,507
61100,경상남도,의령,35.322198,128.26174,13,10,0,0.63,35.95,24.2,60
61110,경상남도,진주시,35.180313,128.10875,45,53,6,2.49,16.27,8.6,597
61120,경상남도,창녕,35.544603,128.49233,17,20,0,0.8,29.8,18.4,129
61130,경상남도,창원시,35.227992,128.681815,110,195,5,1.84,13.64,6.5,1701
61140,경상남도,통영시,34.854426000000004,128.43321,20,29,0,1.7,18.47,9.8,230
61150,경상남도,하동,35.067223999999996,127.751271,16,15,0,0.84,32.89,19.1,94
61160,경상남도,하만,35.272481,128.40653999999998,16,20,0,1.19,23.74,14.7,94
61170,경상남도,함양,35.520540999999994,127.725177,13,12,0,1.01,32.65,20.9,83
61180,경상남도,합천,35.566702,128.16586999999998,17,15,0,0.71,38.44,24.7,96
70000,제주도,제주도,33.488935999999995,126.500423,113,123,4,1.53,15.1,6.4,1245
80000,대한민국,대한민국,37.566953000000005,126.977977,6087,8837,340,1.56,15.67,7.2,94865
