 case_id,province,city,group,infection_case,confirmed,latitude,longitude
2000012,경기도,수원시,True,Lotte Confectionery logistics center,15,37.287356,127.013827
2000013,경기도,안양시,True,Lord Glory Church,17,37.403722,126.954939
2000014,경기도,수원시,True,Suwon Saeng Myeong Saem Church,10,37.2376,127.0517
2000015,경기도,타도시,True,Korea Campus Crusade of Christ,7,-,-
2000016,경기도,타도시,True,Geumcheon-gu rice milling machine manufacture,6,-,-
2000017,경기도,타도시,True,Wangsung Church,6,-,-
2000018,경기도,타도시,True,Seoul City Hall Station safety worker,5,-,-
2000019,경기도,성남시,True,Seongnam neighbors gathering,5,-,-
2000020,경기도,-,False,overseas inflow,305,-,-
2000021,경기도,-,False,contact with patient,63,-,-
2000022,경기도,-,False,etc,84,-,-
3000001,강원도,타도시,True,Shincheonji Church,17,-,-
3000002,강원도,타도시,True,Uijeongbu St. Mary’s Hospital,10,-,-
3000003,강원도,원주시,True,Wonju-si Apartments,4,37.342762,127.983815
3000004,강원도,타도시,True,Richway,4,-,-
3000005,강원도,타도시,True,Geumcheon-gu rice milling machine manufacture,4,-,-
3000006,강원도,-,False,overseas inflow,16,-,-
3000007,강원도,-,False,contact with patient,0,-,-
3000008,강원도,-,False,etc,7,-,-
4000001,충청북도,괴산,True,Goesan-gun Jangyeon-myeon,11,36.82422,127.9552
4000002,충청북도,타도시,True,Itaewon Clubs,9,-,-
4000003,충청북도,타도시,True,Guro-gu Call Center,2,-,-
4000004,충청북도,타도시,True,Shincheonji Church,6,-,-
4000005,충청북도,-,False,overseas inflow,13,-,-
4000006,충청북도,-,False,contact with patient,8,-,-
4000007,충청북도,-,False,etc,11,-,-
4100001,충청남도,천안시,True,gym facility in Cheonan,103,36.81503,127.1139
4100002,충청남도,타도시,True,Door-to-door sales in Daejeon,10,-,-
4100003,충청남도,서산시,True,Seosan-si Laboratory,9,37.000354,126.354443
4100004,충청남도,타도시,True,Richway,3,-,-
4100005,충청남도,타도시,True,Eunpyeong-Boksagol culture center,3,-,-
4100006,충청남도,-,False,overseas inflow,16,-,-
4100007,충청남도,-,False,contact with patient,2,-,-
4100008,충청남도,-,False,etc,12,-,-
5000001,전라북도,타도시,True,Itaewon Clubs,2,-,-
5000002,전라북도,타도시,True,Door-to-door sales in Daejeon,3,-,-
5000003,전라북도,타도시,True,Shincheonji Church,1,-,-
5000004,전라북도,-,False,overseas inflow,12,-,-
5000005,전라북도,-,False,etc,5,-,-
5100001,전라남도,무안,True,Manmin Central Church,2,35.078825,126.316746
5100002,전라남도,타도시,True,Shincheonji Church,1,-,-
5100003,전라남도,-,False,overseas inflow,14,-,-
5100004,전라남도,-,False,contact with patient,4,-,-
5100005,전라남도,-,False,etc,4,-,-
6000001,경상북도,타도시,True,Shincheonji Church,566,-,-
6000002,경상북도,청도,True,Cheongdo Daenam Hospital,119,35.64887,128.7368
6000003,경상북도,봉화,True,Bonghwa Pureun Nursing Home,68,36.92757,128.9099
6000004,경상북도,경산시,True,Gyeongsan Seorin Nursing Home,66,35.782149,128.801498
6000005,경상북도,타도시,True,Pilgrimage to Israel,41,-,-
6000006,경상북도,예천,True,Yechun-gun,40,36.646845,128.437416
6000007,경상북도,칠곡,True,Milal Shelter,36,36.0581,128.4941
6000008,경상북도,경산시,True,Gyeongsan Jeil Silver Town,17,35.84819,128.7621
6000009,경상북도,경산시,True,Gyeongsan Cham Joeun Community Center,16,35.82558,128.7373
6000010,경상북도,구미시,True,Gumi Elim Church,10,-,-
6000011,경상북도,-,False,overseas inflow,22,-,-
6000012,경상북도,-,False,contact with patient,190,-,-
6000013,경상북도,-,False,etc,133,-,-
6100001,경상남도,타도시,True,Shincheonji Church,32,-,-
6100002,경상남도,거창,True,Geochang Church,10,35.68556,127.9127
6100003,경상남도,진주시,True,Wings Tower,9,35.164845,128.126969
6100004,경상남도,거창,True,Geochang-gun Woongyang-myeon,8,35.805681,127.917805
6100005,경상남도,창원시,True,Hanmaeum Changwon Hospital,7,35.22115,128.6866
6100006,경상남도,창녕,True,Changnyeong Coin Karaoke,7,35.54127,128.5008
6100007,경상남도,양산,True,Soso Seowon,3,35.338811,129.017508
6100008,경상남도,타도시,True,Itaewon Clubs,2,-,-
6100009,경상남도,타도시,True,Onchun Church,2,-,-
6100010,경상남도,-,False,overseas inflow,26,-,-
6100011,경상남도,-,False,contact with patient,6,-,-
6100012,경상남도,-,False,etc,20,-,-
7000001,제주도,-,False,overseas inflow,14,-,-
7000002,제주도,-,False,contact with patient,0,-,-
7000003,제주도,-,False,etc,4,-,-
7000004,제주도,타도시,True,Itaewon Clubs,1,-,-
